report_section,report_category,change_id,area,change_type,difference_category,identifier,section,page,old_page,new_page,preview,display_title,old_value,new_value,detail,similarity
Metadata,Title,CHG-0001,metadata,modified,metadata_change,title,,,,,,,The RISC-V Instruction Set Manual: Volume II: Privileged Architecture,"The RISC-V Instruction Set Manual, Volume II: Privileged Architecture",Metadata field changed: title,0.9855
Structural Changes,Sections added,CHG-0002,section,added,section_added,1.1,1.1,,,,,,,RISC-V Privileged Software Stack Terminology ........................................................................................................ 10,Added section,0.0
Structural Changes,Sections added,CHG-0003,section,added,section_added,1.1:7,1.1:7,,,,,,,RISC-V Privileged Software Stack Terminology,Added section,0.0
Structural Changes,Sections added,CHG-0004,section,added,section_added,1.2,1.2,,,,,,,Privilege Levels,Added section,0.0
Structural Changes,Sections added,CHG-0005,section,added,section_added,1.3,1.3,,,,,,,Debug Mode,Added section,0.0
Structural Changes,Sections added,CHG-0006,section,added,section_added,11.1,11.1,,,,,,,CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0007,section,added,section_added,11.1.2,11.1.2,,,,,,,Supervisor Control Transfer Records Control Register (sctrctl),Added section,0.0
Structural Changes,Sections added,CHG-0008,section,added,section_added,11.1.4,11.1.4,,,,,,,Supervisor Control Transfer Records Depth Register (sctrdepth),Added section,0.0
Structural Changes,Sections added,CHG-0009,section,added,section_added,11.1.5,11.1.5,,,,,,,Supervisor Control Transfer Records Status Register (sctrstatus),Added section,0.0
Structural Changes,Sections added,CHG-0010,section,added,section_added,11.1:96,11.1:96,,,,,,,CSRs | Page 98,Added section,0.0
Structural Changes,Sections added,CHG-0011,section,added,section_added,11.2,11.2,,,,,,,Entry Registers,Added section,0.0
Structural Changes,Sections added,CHG-0012,section,added,section_added,11.2.3,11.2.3,,,,,,,Control Transfer Record Metadata Register (ctrdata),Added section,0.0
Structural Changes,Sections added,CHG-0013,section,added,section_added,11.5,11.5,,,,,,,Behavior,Added section,0.0
Structural Changes,Sections added,CHG-0014,section,added,section_added,11.5.1,11.5.1,,,,,,,Privilege Mode Transitions,Added section,0.0
Structural Changes,Sections added,CHG-0015,section,added,section_added,11.5.1.2,11.5.1.2,,,,,,,External Traps,Added section,0.0
Structural Changes,Sections added,CHG-0016,section,added,section_added,11.5.2,11.5.2,,,,,,,Transfer Type Filtering,Added section,0.0
Structural Changes,Sections added,CHG-0017,section,added,section_added,11.5.3,11.5.3,,,,,,,Cycle Counting,Added section,0.0
Structural Changes,Sections added,CHG-0018,section,added,section_added,11.5.4,11.5.4,,,,,,,RAS (Return Address Stack) Emulation Mode,Added section,0.0
Structural Changes,Sections added,CHG-0019,section,added,section_added,11.5.5,11.5.5,,,,,,,Freeze,Added section,0.0
Structural Changes,Sections added,CHG-0020,section,added,section_added,11.6,11.6,,,,,,,Custom Extensions,Added section,0.0
Structural Changes,Sections added,CHG-0021,section,added,section_added,12.1,12.1,,,,,,,Supervisor CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0022,section,added,section_added,12.1.1.1,12.1.1.1,,,,,,,Base ISA Control in sstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0023,section,added,section_added,12.1.1.3,12.1.1.3,,,,,,,Endianness Control in sstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0024,section,added,section_added,12.1.10,12.1.10,,,,,,,Supervisor Environment Configuration (senvcfg) Register,Added section,0.0
Structural Changes,Sections added,CHG-0025,section,added,section_added,12.1.11,12.1.11,,,,,,,Supervisor Address Translation and Protection (satp) Register,Added section,0.0
Structural Changes,Sections added,CHG-0026,section,added,section_added,12.1.12,12.1.12,,,,,,,Supervisor Timer (stimecmp) Register,Added section,0.0
Structural Changes,Sections added,CHG-0027,section,added,section_added,12.1.2,12.1.2,,,,,,,Supervisor Trap Vector Base Address (stvec) Register,Added section,0.0
Structural Changes,Sections added,CHG-0028,section,added,section_added,12.1.3,12.1.3,,,,,,,Supervisor Interrupt (sip and sie) Registers,Added section,0.0
Structural Changes,Sections added,CHG-0029,section,added,section_added,12.1.4,12.1.4,,,,,,,Supervisor Timers and Performance Counters,Added section,0.0
Structural Changes,Sections added,CHG-0030,section,added,section_added,12.1.5,12.1.5,,,,,,,Counter-Enable (scounteren) Register,Added section,0.0
Structural Changes,Sections added,CHG-0031,section,added,section_added,12.1.8,12.1.8,,,,,,,Supervisor Cause (scause) Register,Added section,0.0
